utr_number,deposit_amount,deposit_date,description,bank_ref
UTRUKOEFUKP,7542.31,2026-08-24,RAZORPAY SETTLEMENT setl_021,REF_V8LYMJ1Q
UTRI9MQVAYX,11234.55,2026-08-24,RAZORPAY SETTLEMENT setl_022,REF_AR6YO6Z1
UTRT2XCB3YY,12199.92,2026-08-23,RAZORPAY SETTLEMENT setl_023,REF_M33MG1ZA
UTRQ7QHAK7M,5713.3,2026-08-24,RAZORPAY SETTLEMENT setl_024 PART1,REF_DWKZIRNK
UTR6ZHH3O5U,3808.87,2026-08-25,RAZORPAY SETTLEMENT setl_024 PART2,REF_RTXUYUCE
UTRCJUIS2GY,6626.56,2026-08-24,RAZORPAY SETTLEMENT setl_025,REF_9YTJUQ7X
UTR7B7P9JYQ,9297.57,2026-08-25,RAZORPAY SETTLEMENT setl_026,REF_N15IKPQA
UTRHCUA09PC,8293.8,2026-08-25,RAZORPAY SETTLEMENT setl_027,REF_IFLWDR3V
UTRWMJDIMBM,12711.43,2026-08-25,RAZORPAY SETTLEMENT setl_028,REF_271W1WUD
UTRCBL4CE7P,12367.29,2026-08-25,RAZORPAY SETTLEMENT setl_029,REF_KWCYUKND
UTR1IVXAN25,9291.31,2026-08-25,RAZORPAY SETTLEMENT setl_030,REF_WM72QLGD
UTRVC2GUWJP,15124.12,2026-08-26,RAZORPAY SETTLEMENT setl_031,REF_0QI2CLP8
UTR1L51FLMN,10932.68,2026-08-26,RAZORPAY SETTLEMENT setl_032,REF_AVYCS44P
UTRHH62MYZ9,7793.07,2026-08-26,RAZORPAY SETTLEMENT setl_033 PART1,REF_VLU8WPFQ
UTR2BHAIIWI,5195.38,2026-08-27,RAZORPAY SETTLEMENT setl_033 PART2,REF_08L0HG9N
UTRCBEKGV1B,6002.7,2026-08-25,RAZORPAY SETTLEMENT setl_034,REF_BHG5ZMTG
UTRA46AYN2D,10606.64,2026-08-26,RAZORPAY SETTLEMENT setl_035,REF_7KI3X799
UTR55CF72GN,18917.5,2026-08-25,RAZORPAY SETTLEMENT setl_036,REF_NV9IBWGT
UTR2LB25485,10096.3,2026-08-26,RAZORPAY SETTLEMENT setl_037,REF_HCQXCS1X
UTRSRQLNZZR,9711.53,2026-08-25,RAZORPAY SETTLEMENT setl_038,REF_JO7VBHH5
UTROL5U7NTE,5348.56,2026-08-25,RAZORPAY SETTLEMENT setl_039 PART1,REF_DQMVQWPQ
UTRO2LNGIXM,3565.71,2026-08-26,RAZORPAY SETTLEMENT setl_039 PART2,REF_C4SX27DC
UTRBHHLK3YJ,10539.67,2026-08-27,RAZORPAY SETTLEMENT setl_040,REF_Z99106AK
UTR32OOUXQS,12320.2,2026-08-26,RAZORPAY SETTLEMENT setl_041,REF_1FOI0RS2
UTR10Q2LG1Z,5444.74,2026-08-27,RAZORPAY SETTLEMENT setl_042 PART1,REF_HQUNUE7A
UTR34MPYO2T,3629.83,2026-08-28,RAZORPAY SETTLEMENT setl_042 PART2,REF_LA27F8LW
UTRVV59HOTG,14308.36,2026-08-26,RAZORPAY SETTLEMENT setl_043,REF_DUQ6DDTB
UTRYRGC8KIX,8944.78,2026-08-27,RAZORPAY SETTLEMENT setl_044,REF_CCSG4OFD
UTRTRC85EHP,9856.64,2026-08-27,RAZORPAY SETTLEMENT setl_045,REF_ZRV7VSYJ
UTRAFCO3S65,12033.12,2026-08-26,RAZORPAY SETTLEMENT setl_046,REF_QU0K5QZZ
UTRKW3GI60Q,8994.72,2026-08-28,RAZORPAY SETTLEMENT setl_047,REF_6GUO8I5J
UTRWK6Z0HR9,16325.25,2026-08-27,RAZORPAY SETTLEMENT setl_048,REF_T9CD1LQJ
UTRSQCZ0N04,5725.26,2026-08-28,RAZORPAY SETTLEMENT setl_049,REF_OAE7L0RC
UTRTI8F34GA,15919.02,2026-08-27,RAZORPAY SETTLEMENT setl_050,REF_DKTOC1YF
UTRMHBYHZ43,7883.33,2026-08-28,RAZORPAY SETTLEMENT setl_051,REF_XZ6OLBA1
UTR17NIDP9M,8950.87,2026-08-28,RAZORPAY SETTLEMENT setl_052,REF_GYH523GG
UTRODLUGHT7,13426.49,2026-08-28,RAZORPAY SETTLEMENT setl_053,REF_EHMGOLOQ
