order_id,injected_anomaly_type
ORD_1107,NONE
ORD_1108,NONE
ORD_1109,NONE
ORD_1110,NONE
ORD_1111,NONE
ORD_1112,NONE
ORD_1113,NONE
ORD_1114,NONE
ORD_1115,NONE
ORD_1116,NONE
ORD_1117,NONE
ORD_1118,NONE
ORD_1119,NONE
ORD_1120,NONE
ORD_1121,NONE
ORD_1122,NONE
ORD_1123,NONE
ORD_1124,NONE
ORD_1125,NONE
ORD_1126,MISSING_IN_RAZORPAY
ORD_1127,NONE
ORD_1128,NONE
ORD_1129,NONE
ORD_1130,NONE
ORD_1131,NONE
ORD_1132,NONE
ORD_1133,NONE
ORD_1134,NONE
ORD_1135,NONE
ORD_1136,FEE_DISCREPANCY
ORD_1137,TIMING_MISMATCH
ORD_1138,PARTIAL_REFUND
ORD_1139,NONE
ORD_1140,NONE
ORD_1141,NONE
ORD_1142,NONE
ORD_1143,NONE
ORD_1144,NONE
ORD_1145,NONE
ORD_1146,NONE
ORD_1147,NONE
ORD_1148,NONE
ORD_1149,NONE
ORD_1150,SPLIT_SETTLEMENT
ORD_1151,NONE
ORD_1152,NONE
ORD_1153,NONE
ORD_1154,NONE
ORD_1155,NONE
ORD_1156,NONE
ORD_1157,NONE
ORD_1158,NONE
ORD_1159,NONE
ORD_1160,NONE
ORD_1161,NONE
ORD_1162,DUPLICATE_PAYMENT
ORD_1163,NONE
ORD_1164,NONE
ORD_1165,NONE
ORD_1166,NONE
ORD_1167,NONE
ORD_1168,NONE
ORD_1169,NONE
ORD_1170,NONE
ORD_1171,MISSING_IN_RAZORPAY
ORD_1172,NONE
ORD_1173,FEE_DISCREPANCY
ORD_1174,NONE
ORD_1175,TIMING_MISMATCH
ORD_1176,NONE
ORD_1177,NONE
ORD_1178,NONE
ORD_1179,NONE
ORD_1180,NONE
ORD_1181,NONE
ORD_1182,NONE
ORD_1183,NONE
ORD_1184,NONE
ORD_1185,NONE
ORD_1186,NONE
ORD_1187,NONE
ORD_1188,NONE
ORD_1189,NONE
ORD_1190,NONE
ORD_1191,NONE
ORD_1192,NONE
ORD_1193,NONE
ORD_1194,PARTIAL_REFUND
ORD_1195,SPLIT_SETTLEMENT
ORD_1196,NONE
ORD_1197,NONE
ORD_1198,NONE
ORD_1199,NONE
ORD_1200,NONE
ORD_1201,NONE
ORD_1202,NONE
ORD_1203,NONE
ORD_1204,NONE
ORD_1205,NONE
ORD_1206,NONE
ORD_1207,NONE
ORD_1208,NONE
ORD_1209,DUPLICATE_PAYMENT
ORD_1210,NONE
ORD_1211,NONE
ORD_1212,NONE
ORD_1213,NONE
ORD_1214,NONE
ORD_1215,NONE
ORD_1216,NONE
ORD_1217,NONE
ORD_1218,NONE
ORD_1219,NONE
ORD_1220,NONE
ORD_1221,MISSING_IN_RAZORPAY
ORD_1222,NONE
ORD_1223,NONE
ORD_1224,FEE_DISCREPANCY
ORD_1225,NONE
ORD_1226,NONE
ORD_1227,NONE
ORD_1228,NONE
ORD_1229,NONE
ORD_1230,TIMING_MISMATCH
ORD_1231,NONE
ORD_1232,NONE
ORD_1233,NONE
ORD_1234,NONE
ORD_1235,NONE
ORD_1236,NONE
ORD_1237,NONE
ORD_1238,NONE
ORD_1239,NONE
ORD_1240,NONE
ORD_1241,NONE
ORD_1242,NONE
ORD_1243,NONE
ORD_1244,NONE
ORD_1245,PARTIAL_REFUND
ORD_1246,NONE
ORD_1247,NONE
ORD_1248,NONE
ORD_1249,NONE
ORD_1250,NONE
ORD_1251,NONE
ORD_1252,NONE
ORD_1253,NONE
ORD_1254,NONE
ORD_1255,NONE
ORD_1256,NONE
ORD_1257,NONE
ORD_1258,NONE
ORD_1259,NONE
ORD_1260,NONE
ORD_1261,NONE
ORD_1262,NONE
ORD_1263,NONE
ORD_1264,NONE
ORD_1265,NONE
ORD_1266,NONE
ORD_1267,NONE
ORD_1268,NONE
ORD_1269,NONE
ORD_1270,NONE
ORD_1271,NONE
ORD_1272,NONE
ORD_1273,NONE
ORD_1274,NONE
ORD_1275,SPLIT_SETTLEMENT
ORD_1276,NONE
ORD_1277,NONE
ORD_1278,NONE
ORD_1279,NONE
ORD_1280,NONE
ORD_1281,NONE
ORD_1282,NONE
ORD_1283,NONE
ORD_1284,NONE
ORD_1285,NONE
ORD_1286,NONE
ORD_1287,NONE
ORD_1288,DUPLICATE_PAYMENT
ORD_1289,NONE
ORD_1290,NONE
ORD_1291,NONE
ORD_1292,NONE
ORD_1293,NONE
ORD_1294,MISSING_IN_RAZORPAY
ORD_1295,NONE
ORD_1296,NONE
ORD_1297,NONE
ORD_1298,NONE
ORD_1299,NONE
ORD_1300,NONE
ORD_1301,NONE
ORD_1302,NONE
ORD_1303,NONE
ORD_1304,NONE
ORD_1305,NONE
ORD_1306,FEE_DISCREPANCY
ORD_1307,NONE
ORD_1308,NONE
ORD_1309,NONE
ORD_1310,NONE
ORD_1311,NONE
ORD_1312,NONE
ORD_1313,NONE
ORD_1314,NONE
ORD_1315,NONE
ORD_1316,NONE
ORD_1317,NONE
ORD_1318,NONE
ORD_1319,NONE
ORD_1320,NONE
ORD_1321,NONE
ORD_1322,NONE
ORD_1323,NONE
ORD_1324,NONE
ORD_1325,NONE
ORD_1326,NONE
ORD_1327,NONE
ORD_1328,NONE
ORD_1329,NONE
ORD_1330,NONE
ORD_1331,NONE
ORD_1332,NONE
ORD_1333,NONE
ORD_1334,NONE
ORD_1335,NONE
ORD_1336,NONE
ORD_1337,NONE
ORD_1338,NONE
ORD_1339,NONE
ORD_1340,NONE
ORD_1341,NONE
ORD_1342,TIMING_MISMATCH
ORD_1343,NONE
ORD_1344,NONE
ORD_1345,NONE
ORD_1346,NONE
ORD_1347,NONE
ORD_1348,NONE
ORD_1349,NONE
ORD_1350,NONE
ORD_1351,NONE
ORD_1352,NONE
ORD_1353,NONE
ORD_1354,NONE
ORD_1355,NONE
ORD_1356,NONE
ORD_1357,NONE
ORD_1358,NONE
ORD_1359,NONE
ORD_1360,PARTIAL_REFUND
ORD_1361,NONE
ORD_1362,NONE
ORD_1363,NONE
ORD_1364,NONE
ORD_1365,NONE
ORD_1366,NONE
ORD_1367,NONE
ORD_1368,NONE
ORD_1369,NONE
ORD_1370,NONE
ORD_1371,NONE
ORD_1372,NONE
ORD_1373,NONE
ORD_1374,NONE
ORD_1375,SPLIT_SETTLEMENT
ORD_1376,NONE
ORD_1377,NONE
ORD_1378,NONE
ORD_1379,NONE
ORD_1380,NONE
ORD_1381,NONE
ORD_1382,NONE
ORD_1383,NONE
ORD_1384,NONE
ORD_1385,NONE
ORD_1386,NONE
ORD_1387,NONE
ORD_1388,NONE
ORD_1389,NONE
ORD_1390,NONE
ORD_1391,NONE
ORD_1392,NONE
ORD_1393,NONE
ORD_1394,DUPLICATE_PAYMENT
ORD_1395,NONE
ORD_1396,NONE
ORD_1397,MISSING_IN_RAZORPAY
ORD_1398,NONE
ORD_1399,NONE
ORD_1400,NONE
ORD_1401,NONE
ORD_1402,NONE
ORD_1403,NONE
ORD_1404,NONE
ORD_1405,FEE_DISCREPANCY
ORD_1406,NONE
ORD_1407,NONE
ORD_1408,NONE
ORD_1409,NONE
ORD_1410,NONE
ORD_1411,NONE
ORD_1412,NONE
ORD_1413,NONE
ORD_1414,NONE
ORD_1415,NONE
ORD_1416,NONE
ORD_1417,NONE
ORD_1418,NONE
ORD_1419,NONE
ORD_1420,NONE
ORD_1421,NONE
ORD_1422,NONE
ORD_1423,NONE
ORD_1424,NONE
ORD_1425,NONE
ORD_1426,NONE
ORD_1427,NONE
ORD_1428,NONE
ORD_1429,NONE
ORD_1430,TIMING_MISMATCH
ORD_1431,NONE
ORD_1432,NONE
ORD_1433,NONE
ORD_1434,NONE
ORD_1435,NONE
ORD_1436,NONE
ORD_1437,PARTIAL_REFUND
ORD_1438,NONE
ORD_1439,NONE
ORD_1440,NONE
ORD_1441,NONE
ORD_1442,NONE
ORD_1443,NONE
ORD_1444,NONE
ORD_1445,NONE
ORD_1446,NONE
ORD_1447,NONE
ORD_1448,SPLIT_SETTLEMENT
ORD_1449,NONE
ORD_1450,DUPLICATE_PAYMENT
ORD_1451,NONE
ORD_1452,NONE
ORD_1453,NONE
ORD_1454,NONE
ORD_1455,NONE
ORD_1456,NONE
ORD_1457,NONE
ORD_1458,NONE
ORD_1459,NONE
ORD_1460,NONE
ORD_1461,NONE
ORD_1462,MISSING_IN_RAZORPAY
ORD_1463,NONE
ORD_1464,FEE_DISCREPANCY
ORD_1465,TIMING_MISMATCH
ORD_1466,NONE
ORD_1467,PARTIAL_REFUND
ORD_1468,NONE
ORD_1469,NONE
ORD_1470,NONE
ORD_1471,NONE
ORD_1472,NONE
ORD_1473,NONE
ORD_1474,NONE
ORD_1475,NONE
ORD_1476,NONE
ORD_1477,NONE
ORD_1478,NONE
ORD_1479,NONE
ORD_1480,NONE
ORD_1481,NONE
ORD_1482,NONE
ORD_1483,NONE
ORD_1484,NONE
ORD_1485,NONE
ORD_1486,NONE
ORD_1487,NONE
ORD_1488,NONE
ORD_1489,NONE
ORD_1490,NONE
ORD_1491,NONE
ORD_1492,NONE
ORD_1493,NONE
ORD_1494,NONE
ORD_1495,NONE
ORD_1496,NONE
ORD_1497,NONE
ORD_1498,NONE
ORD_1499,NONE
ORD_1500,NONE
