utr_number,deposit_amount,deposit_date,description,bank_ref
UTRU7J324ST,3950.34,2026-08-23,RAZORPAY SETTLEMENT setl_015 PART2,REF_Q6WZHSMG
UTRBQO0CDQG,13379.5,2026-08-24,RAZORPAY SETTLEMENT setl_016,REF_B7YBN93D
UTRAWACOCDF,9480.54,2026-08-24,RAZORPAY SETTLEMENT setl_017,REF_LRMPU9BN
UTRZV9CQ3RK,8599.91,2026-08-24,RAZORPAY SETTLEMENT setl_018,REF_FU7XGS5R
UTR15WTBHBV,13176.93,2026-08-23,RAZORPAY SETTLEMENT setl_019,REF_UAWLX96S
UTR409AT96A,5130.78,2026-08-23,RAZORPAY SETTLEMENT setl_020 PART1,REF_JZ8YN91D
UTRCUVXMGBG,3420.52,2026-08-24,RAZORPAY SETTLEMENT setl_020 PART2,REF_KMMTDKCQ
UTRTJ43J56M,10720.15,2026-08-23,RAZORPAY SETTLEMENT setl_021,REF_IP7DNP2Y
UTR0UVRERTL,13573.88,2026-08-24,RAZORPAY SETTLEMENT setl_022,REF_POAAYMFC
UTRQMD25WBD,9991.31,2026-08-24,RAZORPAY SETTLEMENT setl_023,REF_S6YXWQIQ
UTRJ0N98CSL,21734.62,2026-08-25,RAZORPAY SETTLEMENT setl_024,REF_XUMJKF6Z
UTRSRMKEGN0,7977.94,2026-08-25,RAZORPAY SETTLEMENT setl_025,REF_KZYXO742
UTR8B9J4L8L,9894.7,2026-08-24,RAZORPAY SETTLEMENT setl_026,REF_UFBLDQWW
UTRMGUV5TAI,4021.57,2026-08-25,RAZORPAY SETTLEMENT setl_027,REF_J1ZVZ6M8
UTRNTNTJQCN,9479.31,2026-08-25,RAZORPAY SETTLEMENT setl_028,REF_B8JEFPSN
UTRU0W61YPQ,9451.6,2026-08-24,RAZORPAY SETTLEMENT setl_029 PART1,REF_YW0FSLPG
UTR8JG6FDNN,6301.06,2026-08-25,RAZORPAY SETTLEMENT setl_029 PART2,REF_GKK4T4EX
UTRZNUOZZG1,11824.02,2026-08-24,RAZORPAY SETTLEMENT setl_030,REF_P8AT38J0
UTRONII6AYI,14350.91,2026-08-25,RAZORPAY SETTLEMENT setl_031,REF_9BJCNUBB
UTRXADQ3F26,10016.49,2026-08-25,RAZORPAY SETTLEMENT setl_032,REF_6VYRAC7K
UTRF7L21RTW,10878.68,2026-08-25,RAZORPAY SETTLEMENT setl_033,REF_4DMS91WM
UTRMIILFWSU,10230.33,2026-08-25,RAZORPAY SETTLEMENT setl_034,REF_BG2O7CXZ
UTRAY0SQ3JN,5846.37,2026-08-25,RAZORPAY SETTLEMENT setl_035,REF_7N2IQKCE
UTRUELNK75C,12940.22,2026-08-26,RAZORPAY SETTLEMENT setl_036,REF_5NAE9SZB
UTRKJKZRDPI,5572.53,2026-08-26,RAZORPAY SETTLEMENT setl_037,REF_UG721J2S
UTRGWC8DTVR,11321.66,2026-08-27,RAZORPAY SETTLEMENT setl_038,REF_YIGQLEUO
UTROLUB3RMI,9562.18,2026-08-26,RAZORPAY SETTLEMENT setl_039 PART1,REF_0DVRWUJF
UTRMAU02IR0,6374.78,2026-08-27,RAZORPAY SETTLEMENT setl_039 PART2,REF_OSHGKSM9
UTR9N74CNMN,9201.62,2026-08-26,RAZORPAY SETTLEMENT setl_040,REF_C3N47ZBV
UTRW8EROM4E,8788.49,2026-08-26,RAZORPAY SETTLEMENT setl_041,REF_XZ3FEL7Q
UTRQOVH0CM1,12623.7,2026-08-27,RAZORPAY SETTLEMENT setl_042,REF_N8111SQ7
UTRA9D9UDC1,10131.68,2026-08-26,RAZORPAY SETTLEMENT setl_043,REF_BS78ENZM
UTRSKJ4GDCQ,17913.34,2026-08-26,RAZORPAY SETTLEMENT setl_044,REF_A5CKE3PH
UTR03WL1FE4,12719.87,2026-08-27,RAZORPAY SETTLEMENT setl_045,REF_07YV4YJE
UTR04FF2R51,10571.23,2026-08-27,RAZORPAY SETTLEMENT setl_046,REF_A52L92DI
UTRONU9VL6V,4296.35,2026-08-28,RAZORPAY SETTLEMENT setl_047 PART1,REF_OXB9II1D
UTRHP5CDYNH,2864.23,2026-08-29,RAZORPAY SETTLEMENT setl_047 PART2,REF_ZSKIN0X2
UTRFES0QHNZ,12912.34,2026-08-28,RAZORPAY SETTLEMENT setl_048,REF_OMOIAUB5
UTRIUY681C4,7251.76,2026-08-27,RAZORPAY SETTLEMENT setl_049,REF_PA4INBEW
UTRAEYHQNNU,17365.98,2026-08-28,RAZORPAY SETTLEMENT setl_050,REF_E8306RB7
UTRGWFY0CE1,8942.67,2026-08-28,RAZORPAY SETTLEMENT setl_051,REF_2RXD8E9R
UTRM2HEI4MT,12587.72,2026-08-28,RAZORPAY SETTLEMENT setl_052,REF_6S5ES8QM
