utr_number,deposit_amount,deposit_date,description,bank_ref
UTRCGLR9RS1,6505.12,2026-08-21,RAZORPAY SETTLEMENT setl_043,REF_T4P36YV7
UTRHTFT5BLE,8997.37,2026-08-22,RAZORPAY SETTLEMENT setl_044 PART1,REF_OI2OFUNL
UTRLCRZ5FJ0,5998.24,2026-08-23,RAZORPAY SETTLEMENT setl_044 PART2,REF_ENSIL0RT
UTRGYJVKJCL,13700.52,2026-08-22,RAZORPAY SETTLEMENT setl_045,REF_GRP1OKP9
UTR2ARWKUWG,12640.59,2026-08-22,RAZORPAY SETTLEMENT setl_046,REF_YIZ07VVQ
UTRIMAY97DT,6921.69,2026-08-22,RAZORPAY SETTLEMENT setl_047,REF_6V9N3SDS
UTRKE6C8EGH,9763.77,2026-08-22,RAZORPAY SETTLEMENT setl_048,REF_NN4KH4TE
UTRGDSK82U3,8894.21,2026-08-22,RAZORPAY SETTLEMENT setl_049,REF_3FNSGXLQ
UTRYZ4A92QK,7959.67,2026-08-21,RAZORPAY SETTLEMENT setl_050 PART1,REF_EW1X3FZV
UTRCYCJTFSB,5306.44,2026-08-22,RAZORPAY SETTLEMENT setl_050 PART2,REF_MHOGR9HP
UTR0TU7X7FV,9538.68,2026-08-22,RAZORPAY SETTLEMENT setl_051,REF_5DJRQWW9
UTR0OAZKH1X,11620.99,2026-08-21,RAZORPAY SETTLEMENT setl_052,REF_T8WCTRJH
UTRKD8NCPLN,13239.88,2026-08-21,RAZORPAY SETTLEMENT setl_053,REF_7BJ2X25M
UTR5K9QSUUS,12349.81,2026-08-22,RAZORPAY SETTLEMENT setl_054,REF_NM43IJ0W
UTRQ3FPV54E,4866.01,2026-08-21,RAZORPAY SETTLEMENT setl_055 PART1,REF_F1JMQFFL
UTR9X2MF0F2,3244.01,2026-08-22,RAZORPAY SETTLEMENT setl_055 PART2,REF_0380FAVP
UTRL4RWI6F5,15221.33,2026-08-22,RAZORPAY SETTLEMENT setl_056,REF_HWD7VUOP
UTRJWU77HR9,9952.34,2026-08-21,RAZORPAY SETTLEMENT setl_057,REF_ESZFSEAG
UTRJ84EZ1D5,12822.93,2026-08-21,RAZORPAY SETTLEMENT setl_058,REF_E5A65RX5
UTR905HA7VT,7316.27,2026-08-22,RAZORPAY SETTLEMENT setl_059 PART1,REF_D7N1K7RT
UTRINXTRFK7,4877.52,2026-08-23,RAZORPAY SETTLEMENT setl_059 PART2,REF_GWLWVG73
UTR6DIMUD48,10517.22,2026-08-22,RAZORPAY SETTLEMENT setl_060,REF_OH9DQ52T
UTRWRQWKDC1,10242.67,2026-08-22,RAZORPAY SETTLEMENT setl_061 PART1,REF_KQNJ8AKC
UTREL35Y5Y1,6828.44,2026-08-23,RAZORPAY SETTLEMENT setl_061 PART2,REF_7EO5LMZV
UTRTHUWDHD8,12764.15,2026-08-22,RAZORPAY SETTLEMENT setl_062,REF_MLAFP5G0
UTRGQYPJREP,6853.75,2026-08-21,RAZORPAY SETTLEMENT setl_063,REF_M59T5BRT
UTRA67J5L3Q,6465.24,2026-08-21,RAZORPAY SETTLEMENT setl_064,REF_4TF6PAGA
UTRBKNEGJYD,4374.53,2026-08-21,RAZORPAY SETTLEMENT setl_065 PART1,REF_5EJEJO23
UTR839Z01PM,2916.36,2026-08-22,RAZORPAY SETTLEMENT setl_065 PART2,REF_ZPOK6VWE
UTRFJQBV8KA,12931.11,2026-08-22,RAZORPAY SETTLEMENT setl_066,REF_J0IRL4YZ
UTR1IV9H5WY,11640.32,2026-08-22,RAZORPAY SETTLEMENT setl_067,REF_1ZPL7PSY
UTRQ2VQTNHJ,12376.74,2026-08-22,RAZORPAY SETTLEMENT setl_068,REF_479J1ULV
UTR8ALOJU6B,9134.61,2026-08-21,RAZORPAY SETTLEMENT setl_069,REF_73L91PQ3
UTRC4R1OBE0,7876.36,2026-08-22,RAZORPAY SETTLEMENT setl_070,REF_E9BGZMHP
UTRIOGL5XV9,10293.17,2026-08-21,RAZORPAY SETTLEMENT setl_071,REF_CPY7Q586
UTRGN1HSERD,8659.52,2026-08-21,RAZORPAY SETTLEMENT setl_072,REF_876D73MP
UTR2JS5G1R3,10488.43,2026-08-22,RAZORPAY SETTLEMENT setl_073,REF_CY43JVWT
UTR9T72MT9G,6807.9,2026-08-22,RAZORPAY SETTLEMENT setl_074 PART1,REF_KS873PZ1
UTR81AVCG21,4538.6,2026-08-23,RAZORPAY SETTLEMENT setl_074 PART2,REF_FOGSPEGR
UTRM217W7C9,9691.45,2026-08-22,RAZORPAY SETTLEMENT setl_075,REF_69OC3KF5
UTRPDDW2QUP,11686.26,2026-08-21,RAZORPAY SETTLEMENT setl_076,REF_UUDJU63O
UTR9LQHF2S5,10340.93,2026-08-22,RAZORPAY SETTLEMENT setl_077,REF_S64QEQI2
UTR7XE46BLJ,11799.47,2026-08-22,RAZORPAY SETTLEMENT setl_078,REF_WHB2JS1J
UTR1VCCWHLX,11700.13,2026-08-22,RAZORPAY SETTLEMENT setl_079,REF_KG9XRED3
UTR2XE97YT6,15058.23,2026-08-22,RAZORPAY SETTLEMENT setl_080,REF_JBA8EN4A
UTRO8E3LJE0,9275.19,2026-08-22,RAZORPAY SETTLEMENT setl_081 PART1,REF_0K27JN4A
UTRF0QQO9A9,6183.46,2026-08-23,RAZORPAY SETTLEMENT setl_081 PART2,REF_KFKMZO99
UTR0UCYK3G9,13385.01,2026-08-21,RAZORPAY SETTLEMENT setl_082,REF_OQU8CFJE
UTR8CCICWWJ,14853.81,2026-08-21,RAZORPAY SETTLEMENT setl_083,REF_FT73ZGDV
UTR44CM63Z4,13206.43,2026-08-21,RAZORPAY SETTLEMENT setl_084,REF_SE4NXZL3
UTR64VJAOT4,9359.71,2026-08-22,RAZORPAY SETTLEMENT setl_085 PART1,REF_S8OC70YP
UTRIFOLM1V7,6239.81,2026-08-23,RAZORPAY SETTLEMENT setl_085 PART2,REF_NXRMSNIN
UTRW8AZ1XUP,11264.62,2026-08-21,RAZORPAY SETTLEMENT setl_086,REF_WHZZA6QE
UTRAN4RSRZR,11298.84,2026-08-22,RAZORPAY SETTLEMENT setl_087,REF_8YHWAJGP
UTR51CLC0E5,6625.11,2026-08-22,RAZORPAY SETTLEMENT setl_088,REF_8DBVKFZY
UTRRJ33ESR0,5907.83,2026-08-22,RAZORPAY SETTLEMENT setl_089 PART1,REF_CIZZBV6X
UTRA60AWBLB,3938.56,2026-08-23,RAZORPAY SETTLEMENT setl_089 PART2,REF_GPJIGG36
UTRQ6NMBU04,10638.59,2026-08-21,RAZORPAY SETTLEMENT setl_090,REF_A2XVLVXX
UTRLXYU6BHD,13279.48,2026-08-22,RAZORPAY SETTLEMENT setl_091,REF_X3GCVR5J
UTRIX1EJSHS,8920.03,2026-08-21,RAZORPAY SETTLEMENT setl_092,REF_F2H3ZTO2
UTRIENKH6V7,5215.71,2026-08-22,RAZORPAY SETTLEMENT setl_093,REF_L2FLZSZ3
UTRAJ5IZ1X7,5400.67,2026-08-22,RAZORPAY SETTLEMENT setl_094,REF_U0PCZ8QJ
UTRZCSUPAC8,6743.92,2026-08-22,RAZORPAY SETTLEMENT setl_095 PART1,REF_OQH3N6P6
UTR8O8Y4U2Y,4495.95,2026-08-23,RAZORPAY SETTLEMENT setl_095 PART2,REF_NBKIGMUY
UTRKQ4FT56S,6376.31,2026-08-22,RAZORPAY SETTLEMENT setl_096,REF_ADLZQPWI
UTREIVM33YC,14068.92,2026-08-22,RAZORPAY SETTLEMENT setl_097,REF_DSTWKVBX
UTRXVFUKPTF,7977.94,2026-08-21,RAZORPAY SETTLEMENT setl_098,REF_O6868X49
UTRGIKHJWFN,8821.09,2026-08-22,RAZORPAY SETTLEMENT setl_099,REF_4B9IAAAO
UTRBENJ8QKK,5894.52,2026-08-21,RAZORPAY SETTLEMENT setl_100 PART1,REF_C9G4MKB3
UTR0SCQQSOM,3929.68,2026-08-22,RAZORPAY SETTLEMENT setl_100 PART2,REF_7Z2J0ZA4
UTRPJ0RF164,11397.62,2026-08-21,RAZORPAY SETTLEMENT setl_101,REF_9QWRFEG7
UTRUA2M8YZM,10726.56,2026-08-21,RAZORPAY SETTLEMENT setl_102,REF_09OP9KUA
UTRZ48JPVYX,10919.25,2026-08-22,RAZORPAY SETTLEMENT setl_103,REF_O8Z38OT7
UTRPJZVQP3P,8808.16,2026-08-22,RAZORPAY SETTLEMENT setl_104,REF_WPSWZO0I
UTRPGIK9UAC,11630.0,2026-08-22,RAZORPAY SETTLEMENT setl_105,REF_06XNVZES
UTRKAE3L1XT,11151.92,2026-08-22,RAZORPAY SETTLEMENT setl_106,REF_RBLWU74P
UTRXMGNDU50,12890.39,2026-08-22,RAZORPAY SETTLEMENT setl_107,REF_UM81ND8A
UTR2LITZ9II,5906.66,2026-08-21,RAZORPAY SETTLEMENT setl_108 PART1,REF_3KVOVPFE
UTR2ATFAMWL,3937.78,2026-08-22,RAZORPAY SETTLEMENT setl_108 PART2,REF_V9NQHRKF
UTROZIMF6OD,15499.64,2026-08-21,RAZORPAY SETTLEMENT setl_109,REF_SICXWKBM
UTRSZZGNG6I,10318.98,2026-08-22,RAZORPAY SETTLEMENT setl_110,REF_L2NM5MU3
UTRVYR3FZKT,9330.86,2026-08-22,RAZORPAY SETTLEMENT setl_111,REF_C12JX2B8
UTRELV3PY3W,11605.44,2026-08-21,RAZORPAY SETTLEMENT setl_112,REF_NUP19W59
UTR5LGPPEGT,5231.33,2026-08-22,RAZORPAY SETTLEMENT setl_113 PART1,REF_6WKR58EJ
UTR9XD1PN58,3487.55,2026-08-23,RAZORPAY SETTLEMENT setl_113 PART2,REF_RKYXKH01
UTRJ9CDSIAX,11410.59,2026-08-22,RAZORPAY SETTLEMENT setl_114,REF_DJ0MJ3A6
UTR5F44V1RO,11008.95,2026-08-22,RAZORPAY SETTLEMENT setl_115,REF_71ENMBM6
UTRY1YJKZOR,11812.93,2026-08-22,RAZORPAY SETTLEMENT setl_116,REF_TSOYOGWQ
UTRI0OF4HJ0,11791.97,2026-08-22,RAZORPAY SETTLEMENT setl_117,REF_S55FFR38
UTRWSUAAEX3,9057.76,2026-08-21,RAZORPAY SETTLEMENT setl_118,REF_KTGYVYUX
UTRISLZQ53N,9491.03,2026-08-22,RAZORPAY SETTLEMENT setl_119,REF_XBLGRHAX
UTR4WKTHBIZ,13239.2,2026-08-21,RAZORPAY SETTLEMENT setl_120,REF_59FGNMK8
UTRKI2RCD1M,11552.43,2026-08-22,RAZORPAY SETTLEMENT setl_121,REF_CC6K94J2
UTRCQ0XN0Z3,6918.01,2026-08-23,RAZORPAY SETTLEMENT setl_122,REF_IP8R6BOO
UTRDWZUUZUJ,6346.99,2026-08-22,RAZORPAY SETTLEMENT setl_123 PART1,REF_HM8UW5WW
UTRLQPX1KK7,4231.32,2026-08-23,RAZORPAY SETTLEMENT setl_123 PART2,REF_1PT3APQN
UTRRVEUHHCT,10896.19,2026-08-23,RAZORPAY SETTLEMENT setl_124,REF_KSKTNI23
UTRX27UCAQT,12118.37,2026-08-23,RAZORPAY SETTLEMENT setl_125,REF_0TR16JNH
UTRB48OK1FQ,11158.57,2026-08-23,RAZORPAY SETTLEMENT setl_126,REF_CWOG1C97
UTR9YR1LGE5,10937.46,2026-08-22,RAZORPAY SETTLEMENT setl_127,REF_MCXHWR7Y
UTRHENMBLE5,16756.83,2026-08-22,RAZORPAY SETTLEMENT setl_128,REF_15R3ULIA
UTR9LZ9ABLY,10676.95,2026-08-23,RAZORPAY SETTLEMENT setl_129,REF_RFNZF475
UTRTGIYG9GK,9705.31,2026-08-22,RAZORPAY SETTLEMENT setl_130,REF_EKMDEQJW
UTRWN36PDNN,9188.57,2026-08-22,RAZORPAY SETTLEMENT setl_131,REF_EW4OP4D6
UTRXU8T63Z4,5371.44,2026-08-22,RAZORPAY SETTLEMENT setl_132 PART1,REF_V7FCBC2R
UTRHX5J7WDF,3580.96,2026-08-23,RAZORPAY SETTLEMENT setl_132 PART2,REF_P85L1G1D
UTR2GQZVZ10,12827.51,2026-08-22,RAZORPAY SETTLEMENT setl_133,REF_ZK2EDZUI
UTRLQ8L02I7,10511.42,2026-08-23,RAZORPAY SETTLEMENT setl_134,REF_HJU27ZTN
UTRNG9PCADT,7837.87,2026-08-23,RAZORPAY SETTLEMENT setl_135,REF_YIVJL1ZF
UTRRW7X5TEO,9487.01,2026-08-23,RAZORPAY SETTLEMENT setl_136 PART1,REF_A49154JR
UTRDCORZOGL,6324.67,2026-08-24,RAZORPAY SETTLEMENT setl_136 PART2,REF_8ZN4ZYK2
UTRPBCJURGZ,9088.73,2026-08-23,RAZORPAY SETTLEMENT setl_137,REF_D2PDIJQP
UTR9VVCYJUG,11740.45,2026-08-22,RAZORPAY SETTLEMENT setl_138,REF_HLZZX0TG
UTRW1Q96J2V,8766.72,2026-08-23,RAZORPAY SETTLEMENT setl_139 PART1,REF_F9AHANSI
UTRFB4GP65Q,5844.48,2026-08-24,RAZORPAY SETTLEMENT setl_139 PART2,REF_7O5Q90PJ
UTRTP84HVVZ,17702.41,2026-08-22,RAZORPAY SETTLEMENT setl_140,REF_7WKUJURF
UTRPOXMRWDK,7494.88,2026-08-23,RAZORPAY SETTLEMENT setl_141,REF_CVCX9N6S
UTRFQKS2ZN6,17690.75,2026-08-23,RAZORPAY SETTLEMENT setl_142,REF_FY2FBLO7
UTR7K9LHQ8C,14354.62,2026-08-23,RAZORPAY SETTLEMENT setl_143,REF_RN91S4O3
UTR121A2WBZ,18738.68,2026-08-22,RAZORPAY SETTLEMENT setl_144,REF_FZJWOMR2
UTRDEZ81FBN,10805.16,2026-08-22,RAZORPAY SETTLEMENT setl_145,REF_H3IILX2N
UTRHG0QFNU5,8450.35,2026-08-22,RAZORPAY SETTLEMENT setl_146,REF_KUF8TAEX
UTRIBB6U2CX,8226.29,2026-08-23,RAZORPAY SETTLEMENT setl_147,REF_4AWCKJ7I
UTRPJU60WRL,5594.05,2026-08-23,RAZORPAY SETTLEMENT setl_148,REF_56SQKLS6
UTRDRJ22SCH,6526.91,2026-08-22,RAZORPAY SETTLEMENT setl_149 PART1,REF_A50G78A0
UTR3W5EP7N2,4351.28,2026-08-23,RAZORPAY SETTLEMENT setl_149 PART2,REF_HKIEIX6G
UTRC16FXZSG,8384.24,2026-08-23,RAZORPAY SETTLEMENT setl_150,REF_72S8KH0V
UTRRKN2SKLS,11601.13,2026-08-22,RAZORPAY SETTLEMENT setl_151,REF_04QLEJDR
UTR6LWISO95,12916.96,2026-08-23,RAZORPAY SETTLEMENT setl_152,REF_35I5XGHM
UTR6K8CRXRH,5646.74,2026-08-23,RAZORPAY SETTLEMENT setl_153,REF_L0IC22TD
UTRKH2JI72M,10042.89,2026-08-23,RAZORPAY SETTLEMENT setl_154,REF_BDT4GFUN
UTRQLOVOA4I,7476.52,2026-08-23,RAZORPAY SETTLEMENT setl_155,REF_YMPLYDK4
UTRIOI0G5TL,13513.19,2026-08-22,RAZORPAY SETTLEMENT setl_156,REF_XGKYA164
UTRI9EBFRD1,13024.76,2026-08-22,RAZORPAY SETTLEMENT setl_157,REF_PT8M7WUC
UTRR1Z7XLX0,7291.28,2026-08-22,RAZORPAY SETTLEMENT setl_158,REF_AN96AY3Y
UTRPJA15XSN,6830.55,2026-08-23,RAZORPAY SETTLEMENT setl_159 PART1,REF_QBNF996N
UTRDIUZKOU9,4553.7,2026-08-24,RAZORPAY SETTLEMENT setl_159 PART2,REF_RFKJG8JO
UTR2VQD9TMT,10532.24,2026-08-22,RAZORPAY SETTLEMENT setl_160,REF_WQ2VZDGG
UTR877W0L4Z,11898.21,2026-08-22,RAZORPAY SETTLEMENT setl_161,REF_FF0X51TD
UTRIMM5CCPY,10744.52,2026-08-23,RAZORPAY SETTLEMENT setl_162,REF_QZJCGEI9
UTRMZDKVFEJ,14444.41,2026-08-22,RAZORPAY SETTLEMENT setl_163,REF_Y2YCJJNT
UTRHMT9LB4I,7345.53,2026-08-22,RAZORPAY SETTLEMENT setl_164 PART1,REF_23ECNV5V
UTRECXOXRKJ,4897.02,2026-08-23,RAZORPAY SETTLEMENT setl_164 PART2,REF_H51IL0CH
UTR4NDFSQCZ,12076.52,2026-08-23,RAZORPAY SETTLEMENT setl_165,REF_GH9OQ14Y
UTRC3JTZW8M,19598.27,2026-08-22,RAZORPAY SETTLEMENT setl_166,REF_BKG0CDUP
UTRE6ZNAKOW,12245.51,2026-08-23,RAZORPAY SETTLEMENT setl_167,REF_WLIJQNN4
UTR7Y3Q4I5B,11048.48,2026-08-22,RAZORPAY SETTLEMENT setl_168,REF_H9UTDVUX
UTR5PMWTPOZ,9216.03,2026-08-22,RAZORPAY SETTLEMENT setl_169,REF_SZN5CTTA
UTR54RPOF0M,6105.4,2026-08-23,RAZORPAY SETTLEMENT setl_170 PART1,REF_7KP8PI23
UTRB878YWBN,4070.26,2026-08-24,RAZORPAY SETTLEMENT setl_170 PART2,REF_4SDGKTPW
UTR4UB3Q2FA,12228.59,2026-08-23,RAZORPAY SETTLEMENT setl_171,REF_IRO1TAIN
UTROHT9JXPW,10615.77,2026-08-22,RAZORPAY SETTLEMENT setl_172,REF_FC8IUILS
UTRSREXZG0W,16141.46,2026-08-22,RAZORPAY SETTLEMENT setl_173,REF_4YCMQ6IR
UTR4QG41USV,15465.61,2026-08-23,RAZORPAY SETTLEMENT setl_174,REF_OW0B8USI
UTREH8A7TOT,10834.19,2026-08-23,RAZORPAY SETTLEMENT setl_175,REF_EQAIW54A
UTRK9LENGP9,12773.21,2026-08-23,RAZORPAY SETTLEMENT setl_176,REF_QDA2H3FI
UTRZ5ME1T31,15904.76,2026-08-22,RAZORPAY SETTLEMENT setl_177,REF_5MG5M9J7
UTR677JTLVI,14619.24,2026-08-23,RAZORPAY SETTLEMENT setl_178,REF_ZU4H6P3P
UTRNX1OWVRZ,9901.14,2026-08-22,RAZORPAY SETTLEMENT setl_179 PART1,REF_1H48F6A1
UTR7J6ZN3YM,6600.76,2026-08-23,RAZORPAY SETTLEMENT setl_179 PART2,REF_JDWDS1PS
UTRHJJW1MT5,12155.89,2026-08-23,RAZORPAY SETTLEMENT setl_180,REF_UEF2H8VM
UTRTKIZW540,8692.72,2026-08-22,RAZORPAY SETTLEMENT setl_181,REF_MHNWIVB4
UTRY6DDVQ5M,6275.8,2026-08-22,RAZORPAY SETTLEMENT setl_182 PART1,REF_PZZJPX63
UTRJ2E1R2BZ,4183.86,2026-08-23,RAZORPAY SETTLEMENT setl_182 PART2,REF_7BHT5JXF
UTRZK6L0ZQX,11020.6,2026-08-22,RAZORPAY SETTLEMENT setl_183,REF_OR8HI2HM
UTRJ1JHR3ZZ,10951.69,2026-08-23,RAZORPAY SETTLEMENT setl_184,REF_MXRO1WL5
UTRZV0E25W6,10325.83,2026-08-23,RAZORPAY SETTLEMENT setl_185,REF_XNAA06ET
UTRNP4AGTRL,4933.64,2026-08-23,RAZORPAY SETTLEMENT setl_186 PART1,REF_O7YEZYZ3
UTRFW127XK4,3289.09,2026-08-24,RAZORPAY SETTLEMENT setl_186 PART2,REF_DOETQIKL
UTR7IEOO3T7,20742.72,2026-08-22,RAZORPAY SETTLEMENT setl_187,REF_WYV5JVFV
UTRP2YKMYC1,15967.69,2026-08-22,RAZORPAY SETTLEMENT setl_188,REF_LP3OEIVE
UTRGR0QQ0NA,8870.35,2026-08-23,RAZORPAY SETTLEMENT setl_189,REF_S3YSF922
UTRD6M1VWK4,15595.34,2026-08-22,RAZORPAY SETTLEMENT setl_190 PART1,REF_ZO3NQN41
UTRUK7Z9G86,10396.9,2026-08-23,RAZORPAY SETTLEMENT setl_190 PART2,REF_BNJYN2FF
UTRDMEXND74,11708.77,2026-08-23,RAZORPAY SETTLEMENT setl_191,REF_0988YEKU
UTRJIIDEA18,14423.25,2026-08-23,RAZORPAY SETTLEMENT setl_192,REF_D8EQM6IU
UTRXK2T69U9,15123.7,2026-08-22,RAZORPAY SETTLEMENT setl_193,REF_AV3D1SKU
UTRW0JRP49N,7977.89,2026-08-23,RAZORPAY SETTLEMENT setl_194,REF_KRINI72Y
UTRCNR9HN2A,6317.13,2026-08-22,RAZORPAY SETTLEMENT setl_195 PART1,REF_GYDUVOIW
UTR4Y6UHOVZ,4211.42,2026-08-23,RAZORPAY SETTLEMENT setl_195 PART2,REF_1B9GWW58
UTR2Z95S8KN,9983.6,2026-08-22,RAZORPAY SETTLEMENT setl_196,REF_67YBX982
UTR4RINUJ1Y,9746.54,2026-08-23,RAZORPAY SETTLEMENT setl_197,REF_NJCC17VQ
UTRPCDQNQ0E,9002.91,2026-08-23,RAZORPAY SETTLEMENT setl_198,REF_CIBTPOBI
UTRPYBR83F5,13443.25,2026-08-24,RAZORPAY SETTLEMENT setl_199,REF_L5POF1L4
UTR4P0Z4O2N,14664.68,2026-08-22,RAZORPAY SETTLEMENT setl_200,REF_W31WADUI
UTR20UNQKTX,5016.46,2026-08-23,RAZORPAY SETTLEMENT setl_201 PART1,REF_S36LWI77
UTRH4UNF8P7,3344.31,2026-08-24,RAZORPAY SETTLEMENT setl_201 PART2,REF_HL18F1V3
UTRZIHUNSQE,13660.14,2026-08-23,RAZORPAY SETTLEMENT setl_202,REF_XRR858F0
UTRG80TR4QW,11246.49,2026-08-22,RAZORPAY SETTLEMENT setl_203,REF_YB3XR7L9
UTRK6NZEP7P,13306.0,2026-08-23,RAZORPAY SETTLEMENT setl_204,REF_YEAVU5YC
UTRCN164C0A,7460.0,2026-08-22,RAZORPAY SETTLEMENT setl_205,REF_Y7O2TAHS
UTRJ0SWBCTM,7002.11,2026-08-23,RAZORPAY SETTLEMENT setl_206 PART1,REF_TFY719S8
UTREEU47DB3,4668.07,2026-08-24,RAZORPAY SETTLEMENT setl_206 PART2,REF_62I8MH6J
UTRJR2XBH0J,9531.41,2026-08-22,RAZORPAY SETTLEMENT setl_207,REF_2PQGY6TX
UTRTUD7D5TV,16875.33,2026-08-23,RAZORPAY SETTLEMENT setl_208,REF_C9XUKXY7
UTRFAHV5T3V,6718.13,2026-08-22,RAZORPAY SETTLEMENT setl_209,REF_R5TLE7X5
UTR2X924WTF,6802.91,2026-08-22,RAZORPAY SETTLEMENT setl_210 PART1,REF_K0V3ARI6
UTRDH210G75,4535.27,2026-08-23,RAZORPAY SETTLEMENT setl_210 PART2,REF_MF1O2MLS
